day	normal	allinf	alliso	alldeath	newinf	newdead	7inf	7dead	M
0	15000	10	0	0	0	0	0	0	0
1	14975	35	0	0	25	0	25	0	0
2	14938	72	0	0	37	0	62	0	0
3	14887	123	0	0	51	0	113	0	0
4	14821	189	0	2	66	2	179	2	0
5	14754	256	0	4	67	2	246	4	6
6	14672	338	0	8	82	4	328	8	6
7	14595	415	0	30	77	22	405	30	8
8	14507	503	0	63	88	33	468	63	6
9	14410	600	0	98	97	35	528	98	6
10	14295	715	0	150	115	52	592	150	6
11	14166	844	0	206	129	56	655	204	6
12	14037	973	0	263	129	57	717	259	20
13	13899	1111	0	333	138	70	773	325	30
14	13765	1245	0	413	134	80	830	383	30
15	13626	1384	0	520	139	107	881	457	34
16	13501	1509	0	629	125	109	909	531	38
17	13349	1661	0	747	152	118	946	597	44
18	13194	1816	0	870	155	123	972	664	52
19	13059	1951	0	986	135	116	978	723	56
20	12896	2114	0	1128	163	142	1003	795	62
21	12759	2251	0	1252	137	124	1006	839	50
22	12623	2387	0	1401	136	149	1003	881	52
23	12442	2568	0	1541	181	140	1059	912	54
24	12264	2746	0	1675	178	134	1085	928	66
25	12085	2925	0	1821	179	146	1109	951	78
26	11898	3112	0	1979	187	158	1161	993	90
27	11727	3283	0	2124	171	145	1169	996	104
28	11548	3462	0	2257	179	133	1211	1005	100
29	11346	3664	0	2406	202	149	1277	1005	88
30	11154	3856	0	2565	192	159	1288	1024	82
31	10983	4027	0	2755	171	190	1281	1080	84
32	10801	4209	0	2945	182	190	1284	1124	76
33	10641	4369	0	3117	160	172	1257	1138	90
34	10491	4519	0	3308	150	191	1236	1184	84
35	10312	4698	0	3488	179	180	1236	1231	78
36	10139	4871	0	3675	173	187	1207	1269	54
37	9961	5049	0	3860	178	185	1193	1295	68
38	9788	5222	0	4039	173	179	1195	1284	70
39	9603	5407	0	4197	185	158	1198	1252	70
40	9422	5588	0	4363	181	166	1219	1246	72
41	9227	5783	0	4526	195	163	1264	1218	102
42	9025	5985	0	4692	202	166	1287	1204	86
43	8833	6177	0	4883	192	191	1306	1208	92
44	8653	6357	0	5056	180	173	1308	1196	92
45	8462	6548	0	5249	191	193	1326	1210	100
46	8282	6728	0	5433	180	184	1321	1236	126
47	8131	6879	0	5617	151	184	1291	1254	134
48	7972	7038	0	5805	159	188	1255	1279	110
49	7812	7198	0	5991	160	186	1213	1299	94
50	7671	7339	0	6174	141	183	1162	1291	108
51	7547	7463	0	6368	124	194	1106	1312	110
52	7411	7599	0	6543	136	175	1051	1294	132
53	7295	7715	0	6711	116	168	987	1278	94
54	7182	7828	0	6880	113	169	949	1263	78
55	7084	7926	0	7030	98	150	888	1225	84
56	6978	8032	0	7187	106	157	834	1196	76
57	6888	8122	0	7337	90	150	783	1163	78
58	6781	8229	0	7458	107	121	766	1090	76
59	6684	8326	0	7602	97	144	727	1059	62
60	6575	8435	0	7702	109	100	720	991	58
61	6476	8534	0	7819	99	117	706	939	74
62	6384	8626	0	7913	92	94	700	883	76
63	6301	8709	0	8028	83	115	677	841	74
64	6216	8794	0	8128	85	100	672	791	64
65	6141	8869	0	8234	75	106	640	776	82
66	6058	8952	0	8329	83	95	626	727	72
67	5982	9028	0	8441	76	112	593	739	82
68	5909	9101	0	8531	73	90	567	712	92
69	5830	9180	0	8618	79	87	554	705	100
70	5751	9259	0	8698	79	80	550	670	80
71	5676	9334	0	8787	75	89	540	659	74
72	5607	9403	0	8872	69	85	534	638	76
73	5522	9488	0	8966	85	94	536	637	92
74	5437	9573	0	9048	85	82	545	607	102
75	5350	9660	0	9116	87	68	559	585	130
76	5261	9749	0	9195	89	79	569	577	140
77	5175	9835	0	9257	86	62	576	559	148
78	5094	9916	0	9328	81	71	582	541	120
79	5020	9990	0	9419	74	91	587	547	118
80	4947	10063	0	9502	73	83	575	536	128
81	4872	10138	0	9588	75	86	565	540	142
82	4789	10221	0	9687	83	99	561	571	110
83	4702	10308	0	9760	87	73	559	565	124
84	4613	10397	0	9839	89	79	562	582	160
85	4527	10483	0	9915	86	76	567	587	120
86	4433	10577	0	9984	94	69	587	565	122
87	4340	10670	0	10054	93	70	607	552	140
88	4260	10750	0	10153	80	99	612	565	144
89	4178	10832	0	10228	82	75	611	541	126
90	4099	10911	0	10328	79	100	603	568	116
91	4022	10988	0	10415	77	87	591	576	112
92	3943	11067	0	10511	79	96	584	596	122
93	3856	11154	0	10582	87	71	577	598	122
94	3765	11245	0	10658	91	76	575	604	122
95	3680	11330	0	10748	85	90	580	595	138
96	3586	11424	0	10830	94	82	592	602	144
97	3502	11508	0	10900	84	70	597	572	144
98	3410	11600	0	10988	92	88	612	573	146
99	3319	11691	0	11073	91	85	624	562	170
100	3226	11784	0	11150	93	77	630	568	162
